Invoice_ID,Unit_price,Quantity,Tax 5%,Total,Date,Time,Payment,gross_income,rating,Month,DOW,Time_range,Customer type,Gender,product_line,City ,Branch,Rating_group
616-24-2851,17.87,4,3.57,75.05,3/22/2019,14:42,Ewallet,3.57,6.5,Mar,Fri,afternoon,Member,Female,Fashion accessories,Mandalay,B,Average
778-71-5554,15.43,1,0.77,16.20,1/25/2019,15:46,Credit card,0.77,6.1,Jan,Fri,afternoon,Member,Male,Fashion accessories,Naypyitaw,C,Average
242-55-6721,16.16,2,1.62,33.94,3/7/2019,11:49,Ewallet,1.62,6.5,Mar,Thu,morning,Normal,Male,Home and lifestyle,Mandalay,B,Average
399-46-5918,85.98,8,34.39,722.23,2/28/2019,19:01,Cash,34.39,8.2,Feb,Thu,evening,Normal,Female,Electronic accessories,Naypyitaw,C,Good
106-35-6779,44.34,2,4.43,93.11,3/27/2019,11:26,Cash,4.43,5.8,Mar,Wed,morning,Member,Male,Home and lifestyle,Yangon,A,Poor
635-40-6220,89.60,8,35.84,752.64,2/7/2019,11:28,Ewallet,35.84,6.6,Feb,Thu,morning,Normal,Male,Health and beauty,Yangon,A,Average
817-48-8732,72.35,10,36.18,759.68,1/20/2019,15:55,Cash,36.18,5.4,Jan,Sun,afternoon,Member,Female,Home and lifestyle,Yangon,A,Poor
120-06-4233,30.61,6,9.18,192.84,3/12/2019,20:36,Cash,9.18,9.3,Mar,Tue,evening,Normal,Male,Electronic accessories,Naypyitaw,C,Good
285-68-5083,24.74,3,3.71,77.93,2/15/2019,17:47,Credit card,3.71,10.0,Feb,Fri,evening,Member,Female,Sports and travel,Naypyitaw,C,Good
803-83-5989,55.73,6,16.72,351.10,2/24/2019,10:55,Ewallet,16.72,7.0,Feb,Sun,morning,Normal,Male,Home and lifestyle,Naypyitaw,C,Average
347-34-2234,55.07,9,24.78,520.41,2/3/2019,13:40,Ewallet,24.78,10.0,Feb,Sun,afternoon,Member,Female,Sports and travel,Mandalay,B,Good
199-75-8169,15.81,10,7.91,166.01,3/6/2019,12:27,Credit card,7.91,8.6,Mar,Wed,afternoon,Member,Male,Sports and travel,Yangon,A,Good
853-23-2453,75.74,4,15.15,318.11,2/14/2019,14:35,Cash,15.15,7.6,Feb,Thu,afternoon,Member,Male,Health and beauty,Mandalay,B,Average
877-22-3308,15.87,10,7.94,166.64,3/13/2019,16:40,Cash,7.94,5.8,Mar,Wed,evening,Member,Male,Health and beauty,Yangon,A,Poor
838-78-4295,33.47,2,3.35,70.29,2/10/2019,15:43,Ewallet,3.35,6.7,Feb,Sun,afternoon,Normal,Female,Health and beauty,Naypyitaw,C,Average
109-28-2512,97.61,6,29.28,614.94,1/7/2019,15:01,Ewallet,29.28,9.9,Jan,Mon,afternoon,Member,Female,Fashion accessories,Mandalay,B,Good
232-11-3025,78.77,10,39.39,827.09,1/24/2019,10:04,Cash,39.39,6.4,Jan,Thu,morning,Normal,Male,Sports and travel,Yangon,A,Average
382-03-4532,18.33,1,0.92,19.25,2/2/2019,18:50,Cash,0.92,4.3,Feb,Sat,evening,Member,Female,Health and beauty,Yangon,A,Poor
393-65-2792,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,44.74,9.6,Jan,Sun,afternoon,Normal,Male,Food and beverages,Naypyitaw,C,Good
796-12-2025,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,31.06,5.9,Feb,Mon,evening,Normal,Male,Fashion accessories,Naypyitaw,C,Poor
510-95-6347,48.52,3,7.28,152.84,3/5/2019,18:17,Ewallet,7.28,4.0,Mar,Tue,evening,Member,Female,Food and beverages,Mandalay,B,Poor
841-35-6630,75.91,6,22.77,478.23,3/9/2019,18:21,Cash,22.77,8.7,Mar,Sat,evening,Normal,Female,Electronic accessories,Naypyitaw,C,Good
287-21-9091,74.67,9,33.60,705.63,1/22/2019,10:55,Ewallet,33.60,9.4,Jan,Tue,morning,Normal,Male,Home and lifestyle,Yangon,A,Good
732-94-0499,41.65,10,20.83,437.33,1/13/2019,17:04,Credit card,20.83,5.4,Jan,Sun,evening,Normal,Female,Electronic accessories,Naypyitaw,C,Poor
263-10-3913,49.04,9,22.07,463.43,1/9/2019,14:20,Credit card,22.07,8.6,Jan,Wed,afternoon,Member,Male,Fashion accessories,Naypyitaw,C,Good
381-20-0914,20.01,9,9.00,189.09,1/12/2019,15:48,Credit card,9.00,5.7,Jan,Sat,afternoon,Member,Female,Fashion accessories,Yangon,A,Poor
829-49-1914,78.31,10,39.16,822.26,3/5/2019,16:24,Ewallet,39.16,6.6,Mar,Tue,evening,Member,Female,Food and beverages,Naypyitaw,C,Average
756-01-7507,20.38,5,5.10,107.00,1/22/2019,18:56,Cash,5.10,6.0,Jan,Tue,evening,Normal,Female,Health and beauty,Naypyitaw,C,Average
870-72-4431,99.19,6,29.76,624.90,1/21/2019,14:42,Credit card,29.76,5.5,Jan,Mon,afternoon,Normal,Female,Health and beauty,Naypyitaw,C,Poor
847-38-7188,96.68,3,14.50,304.54,1/26/2019,19:56,Ewallet,14.50,6.4,Jan,Sat,evening,Normal,Female,Food and beverages,Mandalay,B,Average
480-63-2856,19.25,8,7.70,161.70,1/23/2019,18:37,Ewallet,7.70,6.6,Jan,Wed,evening,Normal,Male,Food and beverages,Naypyitaw,C,Average
787-56-0757,80.36,4,16.07,337.51,2/23/2019,18:45,Credit card,16.07,8.3,Feb,Sat,evening,Member,Female,Food and beverages,Naypyitaw,C,Good
360-39-5055,48.91,5,12.23,256.78,3/9/2019,10:17,Cash,12.23,6.6,Mar,Sat,morning,Member,Male,Sports and travel,Naypyitaw,C,Average
730-50-9884,83.06,7,29.07,610.49,3/5/2019,14:31,Ewallet,29.07,4.0,Mar,Tue,afternoon,Normal,Female,Sports and travel,Naypyitaw,C,Poor
362-58-8315,76.52,5,19.13,401.73,3/25/2019,10:23,Cash,19.13,9.9,Mar,Mon,morning,Normal,Male,Fashion accessories,Naypyitaw,C,Good
633-44-8566,49.38,7,17.28,362.94,3/27/2019,20:35,Credit card,17.28,7.3,Mar,Wed,evening,Member,Male,Food and beverages,Yangon,A,Average
504-35-8843,42.47,1,2.12,44.59,1/2/2019,16:57,Cash,2.12,5.7,Jan,Wed,evening,Normal,Male,Sports and travel,Yangon,A,Poor
318-68-5053,76.99,6,23.10,485.04,2/27/2019,17:55,Cash,23.10,6.1,Feb,Wed,evening,Normal,Female,Health and beauty,Mandalay,B,Average
565-80-5980,47.38,4,9.48,199.00,1/23/2019,10:25,Cash,9.48,7.1,Jan,Wed,morning,Member,Female,Home and lifestyle,Naypyitaw,C,Average
225-32-0908,44.86,10,22.43,471.03,1/26/2019,19:54,Ewallet,22.43,8.2,Jan,Sat,evening,Normal,Female,Sports and travel,Naypyitaw,C,Good
873-51-0671,21.98,7,7.69,161.55,1/10/2019,16:42,Ewallet,7.69,5.1,Jan,Thu,evening,Member,Female,Sports and travel,Yangon,A,Poor
152-08-9985,64.36,9,28.96,608.20,3/12/2019,12:09,Credit card,28.96,8.6,Mar,Tue,afternoon,Member,Male,Health and beauty,Mandalay,B,Good
512-91-0811,89.75,1,4.49,94.24,2/6/2019,20:05,Credit card,4.49,6.6,Feb,Wed,evening,Normal,Male,Health and beauty,Naypyitaw,C,Average
594-34-4444,97.16,1,4.86,102.02,3/8/2019,20:38,Ewallet,4.86,7.2,Mar,Fri,evening,Normal,Male,Electronic accessories,Yangon,A,Average
766-85-7061,87.87,10,43.94,922.64,3/29/2019,10:25,Ewallet,43.94,5.1,Mar,Fri,morning,Normal,Male,Health and beauty,Mandalay,B,Poor
871-39-9221,12.45,6,3.74,78.44,2/9/2019,13:11,Cash,3.74,4.1,Feb,Sat,afternoon,Normal,Female,Electronic accessories,Naypyitaw,C,Poor
865-92-6136,52.75,3,7.91,166.16,3/23/2019,10:16,Ewallet,7.91,9.3,Mar,Sat,morning,Normal,Male,Food and beverages,Yangon,A,Good
733-01-9107,82.70,6,24.81,521.01,3/5/2019,18:14,Cash,24.81,7.4,Mar,Tue,evening,Normal,Male,Home and lifestyle,Mandalay,B,Average
163-56-7055,48.71,1,2.44,51.15,3/26/2019,19:20,Cash,2.44,4.1,Mar,Tue,evening,Member,Male,Fashion accessories,Naypyitaw,C,Poor
189-98-2939,78.55,9,35.35,742.30,3/1/2019,13:22,Cash,35.35,7.2,Mar,Fri,afternoon,Normal,Male,Fashion accessories,Naypyitaw,C,Average
551-21-3069,23.07,9,10.38,218.01,2/1/2019,11:27,Cash,10.38,4.9,Feb,Fri,morning,Normal,Female,Electronic accessories,Naypyitaw,C,Poor
212-62-1842,58.26,6,17.48,367.04,3/28/2019,16:44,Cash,17.48,9.9,Mar,Thu,evening,Normal,Male,Food and beverages,Yangon,A,Good
716-39-1409,30.35,7,10.62,223.07,3/19/2019,18:19,Cash,10.62,8.0,Mar,Tue,evening,Normal,Male,Health and beauty,Mandalay,B,Good
704-48-3927,88.67,10,44.34,931.04,1/12/2019,14:50,Ewallet,44.34,7.3,Jan,Sat,afternoon,Member,Male,Electronic accessories,Yangon,A,Average
628-34-3388,27.38,6,8.21,172.49,1/5/2019,20:54,Credit card,8.21,7.9,Jan,Sat,evening,Normal,Male,Fashion accessories,Naypyitaw,C,Average
630-74-5166,62.13,6,18.64,391.42,3/22/2019,20:19,Cash,18.64,7.4,Mar,Fri,evening,Normal,Male,Sports and travel,Yangon,A,Average
588-01-7461,33.98,9,15.29,321.11,3/24/2019,10:43,Cash,15.29,4.2,Mar,Sun,morning,Normal,Female,Food and beverages,Naypyitaw,C,Poor
861-77-0145,81.97,10,40.99,860.69,3/3/2019,14:30,Cash,40.99,9.2,Mar,Sun,afternoon,Member,Male,Electronic accessories,Naypyitaw,C,Good
479-26-8945,16.49,2,1.65,34.63,2/5/2019,11:32,Ewallet,1.65,4.6,Feb,Tue,morning,Member,Female,Sports and travel,Mandalay,B,Poor
210-67-5886,98.21,3,14.73,309.36,2/5/2019,10:41,Credit card,14.73,7.8,Feb,Tue,morning,Member,Female,Health and beauty,Naypyitaw,C,Average
227-78-1148,72.84,7,25.49,535.37,2/15/2019,12:44,Cash,25.49,8.4,Feb,Fri,afternoon,Normal,Female,Fashion accessories,Mandalay,B,Good
645-44-1170,58.07,9,26.13,548.76,1/19/2019,20:07,Ewallet,26.13,4.3,Jan,Sat,evening,Member,Male,Home and lifestyle,Yangon,A,Poor
237-01-6122,80.79,9,36.36,763.47,2/1/2019,20:31,Credit card,36.36,9.5,Feb,Fri,evening,Member,Female,Home and lifestyle,Naypyitaw,C,Good
225-98-1496,27.02,3,4.05,85.11,3/2/2019,13:01,Credit card,4.05,7.1,Mar,Sat,afternoon,Normal,Female,Fashion accessories,Naypyitaw,C,Average
291-32-1427,21.94,5,5.49,115.19,3/5/2019,12:29,Ewallet,5.49,5.3,Mar,Tue,afternoon,Member,Male,Fashion accessories,Mandalay,B,Poor
659-65-8956,51.36,1,2.57,53.93,1/16/2019,15:26,Ewallet,2.57,5.2,Jan,Wed,afternoon,Member,Male,Fashion accessories,Mandalay,B,Poor
642-32-2990,10.96,10,5.48,115.08,2/2/2019,20:48,Ewallet,5.48,6.0,Feb,Sat,evening,Normal,Female,Food and beverages,Yangon,A,Average
378-24-2715,53.44,2,5.34,112.22,1/20/2019,20:38,Ewallet,5.34,4.1,Jan,Sun,evening,Normal,Male,Home and lifestyle,Mandalay,B,Poor
638-60-7125,99.56,8,39.82,836.30,2/14/2019,17:03,Credit card,39.82,5.2,Feb,Thu,evening,Normal,Female,Electronic accessories,Yangon,A,Poor
659-36-1684,57.12,7,19.99,419.83,1/12/2019,12:02,Credit card,19.99,6.5,Jan,Sat,afternoon,Member,Male,Sports and travel,Naypyitaw,C,Average
219-22-9386,99.96,9,44.98,944.62,3/9/2019,17:26,Credit card,44.98,4.2,Mar,Sat,evening,Member,Male,Sports and travel,Mandalay,B,Poor
336-78-2147,63.91,8,25.56,536.84,3/13/2019,19:52,Credit card,25.56,4.6,Mar,Wed,evening,Member,Male,Home and lifestyle,Naypyitaw,C,Poor
268-27-6179,56.47,8,22.59,474.35,3/9/2019,14:57,Ewallet,22.59,7.3,Mar,Sat,afternoon,Member,Female,Fashion accessories,Mandalay,B,Average
668-90-8900,93.69,7,32.79,688.62,3/10/2019,18:44,Credit card,32.79,4.5,Mar,Sun,evening,Normal,Female,Home and lifestyle,Yangon,A,Poor
870-54-3162,32.25,5,8.06,169.31,1/27/2019,13:26,Cash,8.06,9.0,Jan,Sun,afternoon,Normal,Female,Sports and travel,Yangon,A,Good
189-08-9157,31.73,9,14.28,299.85,1/8/2019,16:17,Credit card,14.28,5.9,Jan,Tue,evening,Normal,Female,Fashion accessories,Naypyitaw,C,Poor
663-86-9076,68.54,8,27.42,575.74,1/8/2019,15:57,Ewallet,27.42,8.5,Jan,Tue,afternoon,Member,Female,Food and beverages,Naypyitaw,C,Good
549-84-7482,90.28,9,40.63,853.15,2/8/2019,11:15,Ewallet,40.63,7.2,Feb,Fri,morning,Normal,Female,Sports and travel,Mandalay,B,Average
191-10-6171,39.62,7,13.87,291.21,1/25/2019,13:18,Cash,13.87,7.5,Jan,Fri,afternoon,Normal,Female,Fashion accessories,Mandalay,B,Average
802-70-5316,92.13,6,27.64,580.42,3/6/2019,20:34,Cash,27.64,8.3,Mar,Wed,evening,Member,Female,Sports and travel,Yangon,A,Good
695-51-0018,34.84,4,6.97,146.33,2/10/2019,18:36,Cash,6.97,7.4,Feb,Sun,evening,Normal,Female,Sports and travel,Mandalay,B,Average
590-83-4591,87.45,6,26.24,550.94,2/17/2019,14:40,Credit card,26.24,8.8,Feb,Sun,afternoon,Member,Male,Electronic accessories,Mandalay,B,Good
483-71-1164,81.30,6,24.39,512.19,3/8/2019,16:43,Ewallet,24.39,5.3,Mar,Fri,evening,Normal,Female,Health and beauty,Naypyitaw,C,Poor
597-78-7908,90.22,3,13.53,284.19,2/18/2019,19:39,Cash,13.53,6.2,Feb,Mon,evening,Normal,Male,Fashion accessories,Naypyitaw,C,Average
700-81-1757,26.31,5,6.58,138.13,1/18/2019,20:59,Credit card,6.58,8.8,Jan,Fri,evening,Normal,Female,Electronic accessories,Yangon,A,Good
354-39-5160,34.42,6,10.33,216.85,2/18/2019,15:39,Cash,10.33,9.8,Feb,Mon,afternoon,Member,Female,Home and lifestyle,Yangon,A,Good
241-72-9525,51.91,10,25.96,545.06,2/16/2019,12:21,Cash,25.96,8.2,Feb,Sat,afternoon,Normal,Male,Sports and travel,Mandalay,B,Good
575-30-8091,72.50,8,29.00,609.00,3/16/2019,19:25,Ewallet,29.00,9.2,Mar,Sat,evening,Normal,Male,Sports and travel,Yangon,A,Good
731-81-9469,89.80,10,44.90,942.90,1/23/2019,13:00,Credit card,44.90,5.4,Jan,Wed,afternoon,Member,Female,Sports and travel,Naypyitaw,C,Poor
280-17-4359,90.50,10,45.25,950.25,1/25/2019,13:48,Cash,45.25,8.1,Jan,Fri,afternoon,Member,Male,Health and beauty,Naypyitaw,C,Good
338-65-2210,68.60,10,34.30,720.30,2/5/2019,19:57,Cash,34.30,9.1,Feb,Tue,evening,Member,Female,Health and beauty,Naypyitaw,C,Good
488-25-4221,30.41,1,1.52,31.93,2/22/2019,10:36,Credit card,1.52,8.4,Feb,Fri,morning,Member,Female,Food and beverages,Naypyitaw,C,Good
239-10-7476,77.95,6,23.39,491.09,1/21/2019,16:37,Ewallet,23.39,8.0,Jan,Mon,evening,Normal,Female,Home and lifestyle,Yangon,A,Good
458-41-1477,46.26,6,13.88,291.44,3/8/2019,17:11,Credit card,13.88,9.5,Mar,Fri,evening,Normal,Female,Health and beauty,Naypyitaw,C,Good
685-64-1609,30.14,10,15.07,316.47,2/10/2019,12:28,Ewallet,15.07,9.2,Feb,Sun,afternoon,Member,Female,Fashion accessories,Yangon,A,Good
568-90-5112,66.14,4,13.23,277.79,3/19/2019,12:46,Credit card,13.23,5.6,Mar,Tue,afternoon,Normal,Male,Health and beauty,Naypyitaw,C,Poor
262-47-2794,71.86,8,28.74,603.62,3/6/2019,15:07,Credit card,28.74,6.2,Mar,Wed,afternoon,Member,Male,Home and lifestyle,Mandalay,B,Average
238-49-0436,32.46,8,12.98,272.66,3/27/2019,13:48,Credit card,12.98,4.9,Mar,Wed,afternoon,Normal,Male,Health and beauty,Yangon,A,Poor
608-96-3517,91.54,4,18.31,384.47,3/23/2019,19:20,Credit card,18.31,4.8,Mar,Sat,evening,Member,Female,Fashion accessories,Mandalay,B,Poor
584-86-7256,34.56,7,12.10,254.02,3/11/2019,16:07,Credit card,12.10,7.3,Mar,Mon,evening,Member,Male,Sports and travel,Naypyitaw,C,Average
746-94-0204,83.24,9,37.46,786.62,1/29/2019,11:56,Credit card,37.46,7.4,Jan,Tue,morning,Normal,Male,Fashion accessories,Yangon,A,Average
214-17-6927,16.48,6,4.94,103.82,2/7/2019,18:23,Ewallet,4.94,9.9,Feb,Thu,evening,Normal,Female,Food and beverages,Naypyitaw,C,Good
400-89-4171,80.97,8,32.39,680.15,1/28/2019,13:05,Cash,32.39,9.3,Jan,Mon,afternoon,Normal,Female,Sports and travel,Naypyitaw,C,Good
782-95-9291,92.29,5,23.07,484.52,2/20/2019,15:55,Credit card,23.07,9.0,Feb,Wed,afternoon,Member,Male,Food and beverages,Yangon,A,Good
279-74-2924,72.17,1,3.61,75.78,1/4/2019,19:40,Cash,3.61,6.1,Jan,Fri,evening,Member,Male,Electronic accessories,Mandalay,B,Average
307-85-2293,50.28,5,12.57,263.97,3/7/2019,13:58,Ewallet,12.57,9.7,Mar,Thu,afternoon,Normal,Male,Home and lifestyle,Mandalay,B,Good
743-04-1105,97.22,9,43.75,918.73,3/30/2019,14:43,Ewallet,43.75,6.0,Mar,Sat,afternoon,Member,Male,Health and beauty,Mandalay,B,Average
423-57-2993,93.39,6,28.02,588.36,3/27/2019,19:18,Ewallet,28.02,10.0,Mar,Wed,evening,Normal,Male,Sports and travel,Mandalay,B,Good
894-41-5205,43.18,8,17.27,362.71,1/19/2019,19:39,Credit card,17.27,8.3,Jan,Sat,evening,Normal,Female,Food and beverages,Naypyitaw,C,Good
275-28-0149,63.69,1,3.18,66.87,2/25/2019,16:21,Cash,3.18,6.0,Feb,Mon,evening,Normal,Male,Sports and travel,Yangon,A,Average
101-17-6199,45.79,7,16.03,336.56,3/13/2019,19:44,Credit card,16.03,7.0,Mar,Wed,evening,Normal,Male,Food and beverages,Yangon,A,Average
423-80-0988,76.40,2,7.64,160.44,1/30/2019,19:42,Ewallet,7.64,6.5,Jan,Wed,evening,Normal,Male,Sports and travel,Naypyitaw,C,Average
548-46-9322,39.90,10,19.95,418.95,2/20/2019,15:24,Credit card,19.95,5.9,Feb,Wed,afternoon,Normal,Male,Food and beverages,Mandalay,B,Poor
505-02-0892,42.57,8,17.03,357.59,2/25/2019,14:12,Ewallet,17.03,5.6,Feb,Mon,afternoon,Member,Male,Health and beauty,Mandalay,B,Poor
234-65-2137,95.58,10,47.79,"1,003.59",1/16/2019,13:32,Cash,47.79,4.8,Jan,Wed,afternoon,Normal,Male,Home and lifestyle,Naypyitaw,C,Poor
